id,emergency_flag,end_time,imbalance_price_flag,imbalance_price_tag,net_imbalance_volume,net_imbalance_volume_tag,no_marginal_flag,participant_name,pboa,price_average_reference_tag,qboa,rank,resource_name,row_id,so_flag,start_time,trade_date,from_file,uploaded_date
7148952,1,2022-04-25T21:55:00,0,0,-17.437,0,0,PT_500045,250.07,0,7.079,35,GU_500822,55,1,2022-04-25T21:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252150.xml,2022-04-26 01:00:00.437257
7148951,1,2022-04-25T21:55:00,0,0,-17.437,0,0,PT_500045,250.07,0,7.079,35,GU_500822,54,1,2022-04-25T21:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252150.xml,2022-04-26 01:00:00.437257
7148950,1,2022-04-25T21:55:00,0,0,-17.437,0,0,PT_500045,250.07,0,7.079,35,GU_500822,53,1,2022-04-25T21:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252150.xml,2022-04-26 01:00:00.437257
7148949,1,2022-04-25T21:55:00,0,0,-17.437,0,0,PT_500045,250.07,0,7.079,35,GU_500822,52,1,2022-04-25T21:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252150.xml,2022-04-26 01:00:00.437257
7148948,1,2022-04-25T21:55:00,0,0,-17.437,0,0,PT_500045,250.07,0,0.671,34,GU_500822,51,1,2022-04-25T21:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252150.xml,2022-04-26 01:00:00.437257
7148947,1,2022-04-25T21:55:00,0,0,-17.437,0,0,PT_500045,250.07,0,0.671,34,GU_500822,50,1,2022-04-25T21:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252150.xml,2022-04-26 01:00:00.437257
7148946,1,2022-04-25T21:55:00,0,0,-17.437,0,0,PT_500045,250.07,0,0.671,34,GU_500822,49,1,2022-04-25T21:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252150.xml,2022-04-26 01:00:00.437257
7148945,1,2022-04-25T21:55:00,0,0,-17.437,0,0,PT_500045,250.07,0,0.671,34,GU_500822,48,1,2022-04-25T21:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252150.xml,2022-04-26 01:00:00.437257
7148754,1,2022-04-25T21:50:00,0,0,-8.581,0,0,PT_500045,250.07,0,3.898,23,GU_500822,43,1,2022-04-25T21:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252145.xml,2022-04-26 01:00:00.437257
7148753,1,2022-04-25T21:50:00,0,0,-8.581,0,0,PT_500045,250.07,0,3.898,23,GU_500822,42,1,2022-04-25T21:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252145.xml,2022-04-26 01:00:00.437257
7148752,1,2022-04-25T21:50:00,0,0,-8.581,0,0,PT_500045,250.07,0,3.898,23,GU_500822,41,1,2022-04-25T21:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252145.xml,2022-04-26 01:00:00.437257
7148751,1,2022-04-25T21:50:00,0,0,-8.581,0,0,PT_500045,250.07,0,3.898,23,GU_500822,40,1,2022-04-25T21:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252145.xml,2022-04-26 01:00:00.437257
7148750,1,2022-04-25T21:50:00,0,0,-8.581,0,0,PT_500045,250.07,0,3.852,22,GU_500822,39,1,2022-04-25T21:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252145.xml,2022-04-26 01:00:00.437257
7148749,1,2022-04-25T21:50:00,0,0,-8.581,0,0,PT_500045,250.07,0,3.852,22,GU_500822,38,1,2022-04-25T21:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252145.xml,2022-04-26 01:00:00.437257
7148748,1,2022-04-25T21:50:00,0,0,-8.581,0,0,PT_500045,250.07,0,3.852,22,GU_500822,37,1,2022-04-25T21:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252145.xml,2022-04-26 01:00:00.437257
7148747,1,2022-04-25T21:50:00,0,0,-8.581,0,0,PT_500045,250.07,0,3.852,22,GU_500822,36,1,2022-04-25T21:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252145.xml,2022-04-26 01:00:00.437257
7148650,1,2022-04-25T21:20:00,0,0,3.487,0,0,PT_500045,250.07,0,3.852,15,GU_500822,31,1,2022-04-25T21:15:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252115.xml,2022-04-26 01:00:00.437257
7148649,1,2022-04-25T21:20:00,0,0,3.487,0,0,PT_500045,250.07,0,3.852,15,GU_500822,30,1,2022-04-25T21:15:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252115.xml,2022-04-26 01:00:00.437257
7148648,1,2022-04-25T21:20:00,0,0.68,3.487,0.681,0,PT_500045,250.07,1,3.898,14,GU_500822,29,1,2022-04-25T21:15:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252115.xml,2022-04-26 01:00:00.437257
7148647,1,2022-04-25T21:20:00,0,0.68,3.487,0.681,0,PT_500045,250.07,1,3.898,14,GU_500822,28,1,2022-04-25T21:15:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252115.xml,2022-04-26 01:00:00.437257
7148619,1,2022-04-25T22:00:00,0,0,-22.457,0,0,PT_500045,250.07,0,7.75,33,GU_500822,48,1,2022-04-25T21:55:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252155.xml,2022-04-26 01:00:00.437257
7148618,1,2022-04-25T22:00:00,0,0,-22.457,0,0,PT_500045,250.07,0,7.75,33,GU_500822,47,1,2022-04-25T21:55:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252155.xml,2022-04-26 01:00:00.437257
7148617,1,2022-04-25T22:00:00,0,0,-22.457,0,0,PT_500045,250.07,0,7.75,33,GU_500822,46,1,2022-04-25T21:55:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252155.xml,2022-04-26 01:00:00.437257
7148616,1,2022-04-25T22:00:00,0,0,-22.457,0,0,PT_500045,250.07,0,7.75,33,GU_500822,45,1,2022-04-25T21:55:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252155.xml,2022-04-26 01:00:00.437257
7148457,1,2022-04-25T20:15:00,0,0.21,17.832,1,0,PT_500045,250.07,0.21,2.39,13,GU_500822,41,0,2022-04-25T20:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252010.xml,2022-04-26 01:00:00.437257
7148456,1,2022-04-25T20:15:00,0,0.21,17.832,1,0,PT_500045,250.07,0.21,2.39,13,GU_500822,40,0,2022-04-25T20:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252010.xml,2022-04-26 01:00:00.437257
7148455,1,2022-04-25T20:15:00,0,0.21,17.832,1,0,PT_500045,250.07,0.21,2.39,13,GU_500822,39,0,2022-04-25T20:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252010.xml,2022-04-26 01:00:00.437257
7148454,1,2022-04-25T20:15:00,0,0,17.832,1,0,PT_500045,250.07,0,5.36,12,GU_500822,38,0,2022-04-25T20:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252010.xml,2022-04-26 01:00:00.437257
7148453,1,2022-04-25T20:15:00,0,0,17.832,1,0,PT_500045,250.07,0,5.36,12,GU_500822,37,0,2022-04-25T20:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252010.xml,2022-04-26 01:00:00.437257
7148452,1,2022-04-25T20:15:00,0,0,17.832,1,0,PT_500045,250.07,0,5.36,12,GU_500822,36,0,2022-04-25T20:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252010.xml,2022-04-26 01:00:00.437257
7148186,1,2022-04-25T20:10:00,0,0.16,17.315,1,0,PT_500045,250.07,0.16,6.316,14,GU_500822,44,0,2022-04-25T20:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252005.xml,2022-04-26 01:00:00.437257
7148185,1,2022-04-25T20:10:00,0,0.16,17.315,1,0,PT_500045,250.07,0.16,6.316,14,GU_500822,43,0,2022-04-25T20:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252005.xml,2022-04-26 01:00:00.437257
7148184,1,2022-04-25T20:10:00,0,0.16,17.315,1,0,PT_500045,250.07,0.16,6.316,14,GU_500822,42,0,2022-04-25T20:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252005.xml,2022-04-26 01:00:00.437257
7148183,1,2022-04-25T20:10:00,0,0,17.315,1,0,PT_500045,250.07,0,1.434,13,GU_500822,41,0,2022-04-25T20:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252005.xml,2022-04-26 01:00:00.437257
7148182,1,2022-04-25T20:10:00,0,0,17.315,1,0,PT_500045,250.07,0,1.434,13,GU_500822,40,0,2022-04-25T20:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252005.xml,2022-04-26 01:00:00.437257
7148181,1,2022-04-25T20:10:00,0,0,17.315,1,0,PT_500045,250.07,0,1.434,13,GU_500822,39,0,2022-04-25T20:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252005.xml,2022-04-26 01:00:00.437257
7148093,1,2022-04-25T21:15:00,0,0.56,7.947,0.559,0,PT_500045,250.07,1,2.39,16,GU_500822,34,1,2022-04-25T21:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252110.xml,2022-04-26 01:00:00.437257
7148092,1,2022-04-25T21:15:00,0,0.56,7.947,0.559,0,PT_500045,250.07,1,2.39,16,GU_500822,33,1,2022-04-25T21:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252110.xml,2022-04-26 01:00:00.437257
7148091,1,2022-04-25T21:15:00,0,1,7.947,1,0,PT_500045,250.07,1,5.36,15,GU_500822,32,1,2022-04-25T21:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252110.xml,2022-04-26 01:00:00.437257
7148090,1,2022-04-25T21:15:00,0,1,7.947,1,0,PT_500045,250.07,1,5.36,15,GU_500822,31,1,2022-04-25T21:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252110.xml,2022-04-26 01:00:00.437257
7147998,1,2022-04-25T21:45:00,0,0,-3.431,0,0,PT_500045,250.07,0,2.39,25,GU_500822,45,1,2022-04-25T21:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252140.xml,2022-04-26 01:00:00.437257
7147997,1,2022-04-25T21:45:00,0,0,-3.431,0,0,PT_500045,250.07,0,2.39,25,GU_500822,44,1,2022-04-25T21:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252140.xml,2022-04-26 01:00:00.437257
7147996,1,2022-04-25T21:45:00,0,0,-3.431,0,0,PT_500045,250.07,0,2.39,25,GU_500822,43,1,2022-04-25T21:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252140.xml,2022-04-26 01:00:00.437257
7147995,1,2022-04-25T21:45:00,0,0,-3.431,0,0,PT_500045,250.07,0,2.39,25,GU_500822,42,1,2022-04-25T21:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252140.xml,2022-04-26 01:00:00.437257
7147994,1,2022-04-25T21:45:00,0,0,-3.431,0,0,PT_500045,250.07,0,5.36,24,GU_500822,41,1,2022-04-25T21:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252140.xml,2022-04-26 01:00:00.437257
7147993,1,2022-04-25T21:45:00,0,0,-3.431,0,0,PT_500045,250.07,0,5.36,24,GU_500822,40,1,2022-04-25T21:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252140.xml,2022-04-26 01:00:00.437257
7147992,1,2022-04-25T21:45:00,0,0,-3.431,0,0,PT_500045,250.07,0,5.36,24,GU_500822,39,1,2022-04-25T21:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252140.xml,2022-04-26 01:00:00.437257
7147991,1,2022-04-25T21:45:00,0,0,-3.431,0,0,PT_500045,250.07,0,5.36,24,GU_500822,38,1,2022-04-25T21:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204252140.xml,2022-04-26 01:00:00.437257
